songId,Card,Title,Artist,Key,BPM,Date,Puzzle Piece,Em&a,Notes,Time Signature,Playlists,PlaylistOrders,DeckOrder
american-symphony-jon-batiste,0,American Symphony,Jon Batiste,,,2024,,,Never Let Me Down 2004 Kanye West sample of 19080 Maybe I'ts the Power of Love by Rock Band BlackJack lead singer =Michael Bolton(Boloitin),,My Deck,,0
music-for-airports-brian-eno,A,Music For Airports,Brian Eno,D,83,1978,1-4-5-Resolution(3),,"First Song by ear., souvenirs/Music_For_Airports.pdf",,My Deck,,1
all-of-me-john-legend,2,All of Me,John Legend,A,,2013,6-4-1-5,,,,"My Deck,8-Track",8-track:2,2
the-luckiest-ben-folds,3,The Luckiest,Ben Folds,D,60,2001,"1/5,Verse every note in the landscape",Amanda,souvenirs/the_luckiest.md,,My Deck,,3
amazing-grace-elvis-presley,4,Amazing Grace,Jon Batiste & Tori Kelley,,,2019,"Walk Down, https://www.youtube.com/watch?v=IXd9ij_lfr0",,,,My Deck,,4
tennessee-whiskey-chris-stapleton,5,Tennessee Whiskey,Chris Stapleton,A,,2015,1-2-1 Chord Sandwich,Emma,"souvenirs/Tenessee_Whiskey_units.pdf, souvenirs/Tennessee_Whiskey_blackboard.pdf",,"My Deck,8-Track",8-track:4,5
what-a-wonderful-world-art-garfunkel,6,*(What a) Wonderful World,Art Garfunkel,A,,1977,,,"souvenirs/What_A_Wonderful_World_garfunkel.png, souvenirs/What_A_Wonderful_World.png",,My Deck,,6
what-a-wonderful-world-jon-batiste,7,(What a) Wonderful World,Jon Batiste,E,178,2018,Area 5(1),Amanda,"souvenirs/What_A_Wonderful_World_lyrics.md, souvenirs/What_A_Wonderful_World.png",,My Deck,,7
dusklight-movement-jon-batiste,8,Dusklight Movement,Jon Batiste,D or G,,2024,,,,,My Deck,,8
7-years-old-lukas-graham,9,7 Years Old,Lukas Graham,Bb,,2015,1765363,, ,,My Deck,,9
ode-to-joyful-jon-batiste,10,Ode To Joyful,Jon Batiste,D,,2024,The Path,,souvenirs/Ode_To_Joyful.pdf,,"My Deck,8-Track",8-track:7,10
the-rose-bette-midler,J,The Rose,Bette Midler,C,,1979,1/2/03,Amanda,souvenirs/The_Rose.md,,My Deck,,11
if-i-aint-got-you-alicia-keys,Q,If I Aint Got You,Alicia Keys,G,,2002,Triad Circles 6-5-4-3,Emma,souvenirs/If_I_Aint_Got_You.pdf,,"My Deck,8-Track",8-track:3,12
hold-me-teddy-swims,K,Hold Me,Teddy Swims,Db,,2022,Area 51 over 3456 ?,,souvenirs/Hold_Me_Teddy_Swims.pdf,,"My Deck,8-Track",8-track:5,13
nocturne-in-d-minor-jon-batiste,A,Nocturne in D Minor,Jon Batiste,Dm,,2018,Dm A Area 51?,,"souvenirs/Nocturne_in_D_Minor_Souvenir.pdf, souvenirs/Nocturne_No_1_in_D_Minor.pdf",,"My Deck,8-Track",8-track:1,14
christmas-time-is-here-vince-guaraldi-trio,5,Christmas Time Is Here,Vince Guaraldi Trio,F,,1965,,,,,8-Track,8-track:6,0
piano-sonata-no-14-ludwig-van-beethoven,6,Piano Sonata No. 14,Ludwig Van Beethoven,,,,,,,,8-Track,8-track:8,0
dont-know-why-norah-jones,2,Don't Know Why,Norah Jones,Bb,88,2002,Penta Cruch,Amanda,"souvenirs/Dont_Know_Why_(1).pdf, souvenirs/Dont_Know_Why_(2).pdf",,My Deck,,15
orange-sky-alexi-murdoch,3,Orange Sky,Alexi Murdoch,D,70,2002,Heartbeat,Amanda,souvenirs/Orange_Sky.pdf,,My Deck,,16
i-can-see-clearly-now-johnny-nash,4,I Can See Clearly Now,Johnny Nash,D,123,1972,Blocks #1234,Amanda,souvenirs/I_Can_See_Clearly_Now.pdf,,My Deck,,17
girl-on-fire-alicia-keys,5,Girl On Fire,Alicia Keys,A,,2012,,,,,My Deck,,18
lean-on-me-bill-withers,6,Lean On Me,Bill Withers,C,74,1972,561,Amanda,"The Path (in reverse 65321-61), souvenirs/Lean_On_Me_Ex.pdf, souvenirs/Lean_on_Me.pdf",,My Deck,,19
autumn-leaves-nat-king-cole,7,Autumn Leaves,Nat King Cole,F,,1955,#251-4736,,souvenirs/Autumn_Leaves_Lyrics_Voice_Leading.pdf,,My Deck,,20
you-are-the-sunshine-of-my-life-stevie-wonder,8,You Are The Sunshine Of My Life,Stevie Wonder,B,132,1972,,,"souvenirs/You_Are_The_Sunshine.pdf, souvenirs/You_Are_The_Sunshine_Of_My_Life.pdf",,My Deck,,21
maison-emilio-piano,9,Maison,Emilio Piano,Dm,,2025,,Emma,"or F?, souvenirs/Maison.pdf",,My Deck,,22
stand-by-me-ben-e-king,10,Stand By Me,Ben E. King,A,60,1962,#571,Amanda,"1645 Intro & Backbeat, souvenirs/Stand_By_Me.pdf",,My Deck,,23
more-than-words-extreme,J,More Than Words,Extreme,Gb,,1990,#571(1) More Than (Words),,souvenirs/More_Than_Words.pdf,,My Deck,,24
stir-it-up-bob-marley,Q,Stir It Up,Bob Marley,A,74,1973,Primary Stations,Amanda,souvenirs/Stir_It_Up.pdf,,My Deck,,25
hymn-to-freedom-oscar-peterson,K,Hymn To Freedom,Oscar Peterson,Bb,,1961,The Queen 3m/#5,,souvenirs/Hymn_To_Freedom.pdf,,My Deck,,26
simple-gifts-traditional,A,Simple Gifts,Yo-Yo Ma & Alison Krauss,Eb,84,1848,,Amanda,souvenirs/Simple_Gifts.pdf,,My Deck,,27
easy-the-commodores,2,Easy,The Commodores,Ab,66,1977,,,souvenirs/Easy.pdf,,My Deck,,28
vincent-obrien-toyy-parlapiano,3,Vincent O'brien,Tony Parlipiano,,,2025,,,,,My Deck,,0
let-it-be-the-beatles,4,Let It Be,The Beatles,C,69,1970,#4321 Walkdown,Amanda,"#1564 Intro Chord progression, Chorus Triangle,souvenirs/Let_It_Be.pdf",,My Deck,,30
