id,title,artist,progression,resolution,key,year,rating,notes
A,Music for Airports,Brian Eno,,1-4-5-Resolution(3),D,1978,83,First Song by ear.
2,All of Me,John Legend,6-4-1-5,6-4-1-5,A,,,
3,The Luckiest,Ben Folds,,1/5 Verse every note in the landscape,D,2001,,souveneir/The Luckiest.md
4,Amazing Grace,Elvis Presley,,,G,,,
5,Tennessee Whiskey,Chris Stapleton,1-2-2-1,1-2-1 Chord Sandwich,A,,,
6,(What a) Wonderful World,Jon Batiste,,,E,2018,,
7,(What a) Wonderful World,Art Garfunkel,,,A,,,
8,7 Years Old,Lukas Graham,,,Bb,,,
9,,,,,,,,
10,,,,,,,,
J,,,,,,,,
Q,,,,,,,,
K,,,,,,,,
